id,player,span,mat,runs,avg,sr,fours,sixes,start_year,end_year,career_length,Predicted_Category
0,CH Gayle,2007-2022,356,11448,36.92,143.92,866,839,2007,2022,16,Power Hitter
1,V Kohli,2007-2025,323,10622,41.17,133.09,953,344,2007,2025,19,Power Hitter
2,KA Pollard,2009-2025,512,10148,30.11,150.02,646,681,2009,2025,17,Power Hitter
3,DA Warner,2009-2025,296,9778,37.6,139.16,998,342,2009,2025,17,Balanced Player
4,RG Sharma,2007-2025,352,9296,30.88,132.61,848,396,2007,2025,19,Balanced Player
5,F du Plessis,2012-2025,293,8921,34.71,140.15,816,358,2012,2025,14,Balanced Player
6,S Dhawan,2007-2024,277,8289,33.83,125.17,939,192,2007,2024,18,Balanced Player
7,SR Watson,2007-2020,297,7623,29.2,137.07,688,403,2007,2020,14,Balanced Player
8,SK Raina,2008-2021,288,7605,32.08,137.52,687,285,2008,2021,14,Balanced Player
9,Shoaib Malik,2007-2025,316,7339,32.61,124.38,531,239,2007,2025,19,Balanced Player
10,GJ Maxwell,2010-2025,320,7234,28.59,155.3,591,386,2010,2025,16,Balanced Player
11,RV Uthappa,2007-2022,284,7101,28.06,133.17,701,264,2007,2022,16,Balanced Player
12,KD Karthik,2007-2025,365,6966,26.79,136.13,672,235,2007,2025,19,Balanced Player
13,AD Russell,2012-2025,415,6908,26.87,167.95,486,554,2012,2025,14,Power Hitter
14,AB de Villiers,2007-2021,244,6892,39.15,150.54,544,327,2007,2021,15,Balanced Player
15,AM Rahane,2007-2025,266,6860,30.35,125.41,694,174,2007,2025,19,Balanced Player
16,JC Buttler,2009-2025,216,6831,37.74,144.17,650,291,2009,2025,17,Balanced Player
17,N Pooran,2013-2025,294,6799,29.68,151.89,458,467,2013,2025,13,Balanced Player
18,SV Samson,2011-2025,260,6730,30.45,135.35,560,300,2011,2025,15,Balanced Player
19,CA Lynn,2011-2025,227,6579,32.89,144.49,571,357,2011,2025,15,Balanced Player
20,MS Dhoni,2007-2025,340,6567,37.74,137.21,451,315,2007,2025,19,Balanced Player
21,MK Pandey,2007-2025,278,6525,31.07,123.69,547,210,2007,2025,19,Balanced Player
22,SA Yadav,2010-2025,258,6466,34.76,148.84,664,254,2010,2025,16,Balanced Player
23,Q de Kock,2012-2025,233,6265,29.69,134.58,611,266,2012,2025,14,Balanced Player
24,BB McCullum,2007-2019,249,6257,27.68,131.64,598,293,2007,2019,13,Balanced Player
25,KL Rahul,2013-2025,181,6224,43.52,135.89,534,249,2013,2025,13,Balanced Player
26,C Munro,2011-2025,220,6113,32.17,134.97,533,278,2011,2025,15,Balanced Player
27,AD Hales,2012-2025,210,6061,31.4,145.24,634,268,2012,2025,14,Balanced Player
28,AJ Finch,2010-2024,219,6057,30.9,129.61,565,225,2010,2024,15,Balanced Player
29,ADS Fletcher,2009-2025,224,6040,30.5,126.81,531,283,2009,2025,17,Balanced Player
30,AT Rayudu,2007-2023,290,6036,26.59,125.09,495,229,2007,2023,17,Balanced Player
31,DR Smith,2007-2019,234,6003,28.31,126.56,605,278,2007,2019,13,Balanced Player
32,G Gambhir,2007-2018,235,5994,28.95,120.6,699,86,2007,2018,12,Balanced Player
33,DA Miller,2012-2025,286,5864,34.09,135.55,428,254,2012,2025,14,Balanced Player
34,LMP Simmons,2009-2022,203,5728,30.63,119.85,542,245,2009,2022,14,Balanced Player
35,MP Stoinis,2012-2025,264,5688,30.09,137.22,471,252,2012,2025,14,Balanced Player
36,SS Iyer,2014-2025,189,5474,34.86,136.71,458,242,2014,2025,12,Balanced Player
37,RR Rossouw,2009-2025,231,5462,29.05,144.95,515,249,2009,2025,17,Balanced Player
38,J Charles,2012-2025,204,5414,28.95,134.07,509,268,2012,2025,14,Balanced Player
39,SE Marsh,2008-2024,153,5371,40.08,130.04,532,168,2008,2024,17,Balanced Player
40,Shakib Al Hasan,2007-2025,319,5308,22.11,127.47,474,170,2007,2025,19,Balanced Player
41,Tamim Iqbal,2007-2025,173,5270,34.9,120.92,559,158,2007,2025,19,Balanced Player
42,Babar Azam,2016-2025,146,5241,41.59,124.01,558,86,2016,2025,10,Balanced Player
43,MA Agarwal,2010-2025,215,5012,25.7,134.33,507,176,2010,2025,16,Balanced Player
44,E Lewis,2012-2025,195,4974,28.42,140.38,417,333,2012,2025,14,Balanced Player
45,DJ Bravo,2007-2024,433,4904,22.19,129.22,335,236,2007,2024,18,Balanced Player
46,N Rana,2013-2025,202,4833,28.26,136.52,432,247,2013,2025,13,Balanced Player
47,KC Sangakkara,2007-2018,195,4818,27.53,121.05,510,93,2007,2018,12,Balanced Player
48,YK Pathan,2007-2019,262,4738,28.03,139.27,372,233,2007,2019,13,Balanced Player
49,SPD Smith,2009-2025,192,4674,35.14,131.03,394,141,2009,2025,17,Balanced Player
50,WP Saha,2007-2024,253,4652,24.48,128.04,458,143,2007,2024,18,Balanced Player
51,Shubman Gill,2018-2025,139,4543,39.16,138.84,440,145,2018,2025,8,Balanced Player
52,Ishan Kishan,2014-2025,174,4462,29.35,136.32,439,203,2014,2025,12,Balanced Player
53,MC Henriques,2009-2025,220,4389,28.68,129.43,334,135,2009,2025,17,Balanced Player
54,RR Pant,2016-2025,157,4370,33.61,148.13,397,212,2016,2025,10,Balanced Player
55,BJ Hodge,2007-2018,181,4362,36.35,130.13,381,163,2007,2018,12,Balanced Player
56,RD Gaikwad,2017-2025,126,4360,39.63,140.37,414,168,2017,2025,9,Balanced Player
57,PA Patel,2007-2019,198,4206,22.98,123.99,544,77,2007,2019,13,Balanced Player
58,SO Hetmyer,2016-2025,191,4152,30.75,148.65,288,240,2016,2025,10,Balanced Player
59,HH Pandya,2013-2025,212,4120,30.51,142.8,304,222,2013,2025,13,Balanced Player
60,Mohammad Rizwan,2016-2025,136,4118,42.45,124.22,357,114,2016,2025,10,Balanced Player
61,M Vijay,2007-2020,164,4111,26.35,121.98,384,143,2007,2020,14,Balanced Player
62,Mushfiqur Rahim,2007-2025,181,4096,33.03,129.04,351,121,2007,2025,19,Balanced Player
63,Yuvraj Singh,2007-2019,198,4067,24.5,126.03,316,215,2007,2019,13,Balanced Player
64,JH Kallis,2008-2016,160,3983,30.4,112.19,395,89,2008,2016,9,Balanced Player
65,JJ Roy,2012-2025,155,3974,27.4,137.17,448,145,2012,2025,14,Balanced Player
66,Mandeep Singh,2010-2024,211,3956,27.66,129.07,394,103,2010,2024,15,Balanced Player
67,MEK Hussey,2007-2016,137,3938,37.5,125.01,367,105,2007,2016,10,Balanced Player
68,SP Narine,2011-2025,431,3848,16.03,152.81,377,248,2011,2025,15,Balanced Player
69,MR Marsh,2010-2025,152,3845,33.43,136.0,287,186,2010,2025,16,Balanced Player
70,V Sehwag,2007-2016,143,3768,27.91,147.36,448,135,2007,2016,10,Balanced Player
71,JM Vince,2012-2025,139,3758,30.3,134.5,414,94,2012,2025,14,Balanced Player
72,KP Pietersen,2007-2018,127,3700,34.57,136.98,322,141,2007,2018,12,Balanced Player
73,KK Nair,2013-2025,171,3660,26.33,136.51,367,126,2013,2025,13,Balanced Player
74,KS Williamson,2012-2025,137,3633,33.95,121.26,317,97,2012,2025,14,Balanced Player
75,RA Jadeja,2007-2025,303,3607,26.32,130.45,267,129,2007,2025,19,Balanced Player
76,JP Duminy,2007-2019,149,3589,39.43,123.03,235,137,2007,2019,13,Balanced Player
77,RA Tripathi,2013-2025,161,3540,25.65,134.19,340,130,2013,2025,13,Balanced Player
78,TH David,2018-2025,195,3523,29.6,159.41,233,226,2018,2025,8,Balanced Player
79,MS Wade,2009-2025,169,3506,27.39,135.21,320,109,2009,2025,17,Balanced Player
80,SS Tiwary,2007-2023,181,3454,29.02,122.17,272,127,2007,2023,17,Balanced Player
81,Mahmudullah,2007-2025,197,3449,24.81,121.91,264,130,2007,2025,19,Balanced Player
82,Fakhar Zaman,2017-2025,122,3446,28.95,138.17,322,147,2017,2025,9,Balanced Player
83,MK Tiwary,2007-2021,178,3400,28.81,116.63,273,90,2007,2021,15,Balanced Player
84,Mohammad Hafeez,2007-2023,185,3393,22.03,112.68,318,106,2007,2023,17,Balanced Player
85,Abhishek Sharma,2018-2025,125,3365,31.15,161.46,311,194,2018,2025,8,Balanced Player
86,M Vohra,2013-2024,132,3340,28.79,126.65,332,117,2013,2024,12,Balanced Player
87,MJ Guptill,2009-2024,138,3281,26.03,119.13,281,133,2009,2024,16,Balanced Player
88,DPMD Jayawardene,2007-2017,141,3270,27.94,124.9,360,74,2007,2017,11,Balanced Player
89,Kamran Akmal,2007-2022,143,3265,25.31,132.4,348,138,2007,2022,16,Balanced Player
90,DJM Short,2016-2025,109,3253,32.85,130.85,316,112,2016,2025,10,Balanced Player
91,DJ Hooda,2013-2025,199,3240,22.97,135.56,221,145,2013,2025,13,Balanced Player
92,NLTC Perera,2009-2025,249,3231,21.54,152.33,245,187,2009,2025,17,Balanced Player
93,RS Bopara,2009-2022,169,3166,27.77,116.31,245,83,2009,2022,14,Balanced Player
94,Litton Das,2013-2025,141,3159,23.93,125.9,319,108,2013,2025,13,Balanced Player
95,TM Head,2013-2025,111,3131,32.61,149.23,291,149,2013,2025,13,Balanced Player
96,JW Wells,2011-2025,144,3131,34.03,122.16,260,56,2011,2025,15,Balanced Player
97,H Klaasen,2018-2025,117,3084,35.04,160.79,193,190,2018,2025,8,Balanced Player
98,BR McDermott,2014-2025,114,3061,34.39,139.96,224,146,2014,2025,12,Balanced Player
99,CAK Walton,2013-2023,149,3055,24.44,125.97,259,146,2013,2023,11,Balanced Player
100,S Dube,2016-2025,142,3035,30.65,141.09,181,187,2016,2025,10,Balanced Player
101,CA Ingram,2010-2025,141,3026,26.31,131.5,262,126,2010,2025,16,Balanced Player
102,D Padikkal,2019-2025,107,3015,31.08,133.88,324,108,2019,2025,7,Balanced Player
103,R Parag,2017-2025,128,3009,33.06,146.28,203,179,2017,2025,9,Balanced Player
104,R Powell,2016-2025,174,2986,23.51,138.75,181,204,2016,2025,10,Balanced Player
105,CL White,2008-2020,150,2981,26.38,118.15,215,111,2008,2020,13,Balanced Player
106,Anamul Haque,2012-2025,139,2963,24.69,119.28,270,113,2012,2025,14,Balanced Player
107,NV Ojha,2007-2019,178,2950,21.37,119.48,265,136,2007,2019,13,Balanced Player
108,DT Christian,2010-2025,221,2946,20.74,130.87,197,132,2010,2025,16,Balanced Player
109,AR Patel,2013-2025,227,2917,24.3,136.37,202,140,2013,2025,13,Balanced Player
110,PP Shaw,2018-2024,116,2902,25.23,151.61,338,124,2018,2024,7,Balanced Player
111,VR Iyer,2015-2025,124,2885,35.61,140.38,265,119,2015,2025,11,Balanced Player
112,Rahmanullah Gurbaz,2019-2025,122,2880,24.61,146.26,227,191,2019,2025,7,Balanced Player
113,SD Hope,2015-2025,113,2873,28.16,130.41,207,138,2015,2025,11,Balanced Player
114,DJ Hussey,2008-2017,142,2869,26.56,123.98,196,114,2008,2017,10,Balanced Player
115,KR Mayers,2013-2025,140,2868,23.5,133.58,242,178,2013,2025,13,Balanced Player
116,BR Dunk,2011-2022,146,2863,22.36,126.68,240,99,2011,2022,12,Balanced Player
117,PD Salt,2018-2025,127,2862,25.32,155.79,317,117,2018,2025,8,Balanced Player
118,Prabhsimran Singh,2019-2025,102,2859,31.76,147.98,285,151,2019,2025,7,Balanced Player
119,DJG Sammy,2009-2020,220,2856,21.47,140.62,187,175,2009,2020,12,Balanced Player
120,MW Short,2014-2025,104,2833,30.13,146.63,228,136,2014,2025,12,Balanced Player
121,KH Pandya,2013-2025,203,2830,23.78,130.83,243,96,2013,2025,13,Balanced Player
122,TM Dilshan,2007-2016,123,2827,26.66,118.78,334,64,2007,2016,10,Anchor
123,Mohammad Nabi,2010-2025,240,2821,18.68,128.63,207,124,2010,2025,16,Balanced Player
124,AI Ross,2014-2025,144,2819,28.19,126.81,213,100,2014,2025,12,Balanced Player
125,YBK Jaiswal,2020-2025,95,2814,32.34,148.73,337,117,2020,2025,6,Balanced Player
126,MN Samuels,2007-2017,116,2807,31.53,118.73,236,113,2007,2017,11,Balanced Player
127,Ahmed Shehzad,2009-2024,110,2798,27.98,122.88,297,82,2009,2024,16,Balanced Player
128,NT Tilak Varma,2019-2025,90,2792,41.67,145.79,215,133,2019,2025,7,Anchor
129,AK Markram,2021-2025,112,2791,31.35,132.02,216,101,2021,2025,5,Anchor
130,SR Tendulkar,2007-2013,95,2787,33.17,121.27,357,38,2007,2013,7,Anchor
131,JM Sharma,2014-2025,132,2786,28.14,152.49,257,137,2014,2025,12,Balanced Player
132,RM Patidar,2018-2025,90,2775,36.03,156.42,206,157,2018,2025,8,Balanced Player
133,Harpreet Singh,2010-2024,99,2757,35.34,123.96,222,94,2010,2024,15,Balanced Player
134,LRPL Taylor,2007-2020,143,2725,27.52,119.83,178,112,2007,2020,14,Anchor
135,SE Rutherford,2018-2025,154,2706,24.6,137.99,176,174,2018,2025,8,Balanced Player
136,LS Livingstone,2019-2025,134,2701,25.24,141.26,175,169,2019,2025,7,Balanced Player
137,RK Singh,2014-2025,133,2675,33.02,145.85,216,125,2014,2025,12,Balanced Player
138,BCJ Cutting,2012-2024,182,2653,22.67,145.13,184,161,2012,2024,13,Balanced Player
139,UT Khawaja,2011-2025,87,2648,33.51,133.6,325,44,2011,2025,15,Balanced Player
140,EJG Morgan,2009-2023,146,2647,23.63,122.6,205,115,2009,2023,15,Balanced Player
141,AP Tare,2009-2024,130,2630,28.27,132.96,286,75,2009,2024,16,Balanced Player
142,SW Billings,2016-2025,127,2626,25.0,136.62,230,94,2016,2025,10,Anchor
143,GD Phillips,2017-2025,97,2574,33.86,136.84,184,140,2017,2025,9,Anchor
144,JR Philippe,2017-2025,106,2531,27.51,135.63,246,71,2017,2025,9,Anchor
145,GJ Bailey,2009-2020,135,2520,29.3,130.84,213,76,2009,2020,12,Anchor
146,R Dravid,2007-2013,106,2511,27.59,113.87,307,31,2007,2013,7,Anchor
147,Imad Wasim,2016-2025,229,2508,22.8,125.77,217,85,2016,2025,10,Balanced Player
148,DJ Malan,2016-2025,93,2489,31.91,125.07,218,84,2016,2025,10,Anchor
149,TL Seifert,2020-2025,108,2476,29.47,129.56,231,99,2020,2025,6,Anchor
150,M Klinger,2010-2019,91,2461,30.38,116.24,235,50,2010,2019,10,Anchor
151,DM Bravo,2009-2025,125,2447,29.48,114.66,140,143,2009,2025,17,Balanced Player
152,SP Goswami,2008-2022,111,2437,26.78,115.55,270,40,2008,2022,15,Anchor
153,LJ Wright,2007-2018,103,2437,27.38,133.16,261,80,2007,2018,12,Anchor
154,Virat Singh,2014-2024,86,2432,35.76,128.27,243,67,2014,2024,11,Anchor
155,Azam Khan,2019-2025,126,2431,23.37,142.41,206,145,2019,2025,7,Anchor
156,KM Jadhav,2007-2023,153,2428,24.52,129.08,217,81,2007,2023,17,Anchor
157,MM Ali,2013-2025,166,2420,21.41,131.37,177,135,2013,2025,13,Balanced Player
158,AJ Turner,2013-2025,148,2414,24.63,142.58,161,101,2013,2025,13,Anchor
159,JC Silk,2013-2025,135,2402,31.6,125.56,178,44,2013,2025,13,Anchor
160,Mohammad Mithun,2012-2025,132,2390,24.14,116.75,155,97,2012,2025,14,Anchor
161,CJ Ferguson,2010-2021,105,2380,28.0,125.06,203,52,2010,2021,12,Anchor
162,V Shankar,2013-2025,148,2370,26.62,129.01,163,93,2013,2025,13,Anchor
163,DP Hughes,2012-2024,106,2365,27.82,121.71,213,55,2012,2024,13,Anchor
164,Imrul Kayes,2010-2025,117,2364,22.73,117.2,209,99,2010,2025,16,Anchor
165,DP Conway,2021-2025,72,2357,41.35,129.57,240,63,2021,2025,5,Anchor
166,P Dogra,2007-2024,105,2324,27.66,115.62,163,94,2007,2024,18,Anchor
167,J Weatherald,2016-2025,98,2324,25.82,130.85,232,92,2016,2025,10,Anchor
168,AC Gilchrist,2007-2013,88,2307,27.79,139.73,264,102,2007,2013,7,Anchor
169,KH Devdhar,2011-2021,81,2282,30.83,120.8,256,51,2011,2021,11,Anchor
170,Sabbir Rahman,2012-2025,124,2272,22.27,121.82,177,100,2012,2025,14,Anchor
171,B Sai Sudharsan,2021-2025,59,2271,43.67,138.05,228,56,2021,2025,5,Anchor
172,Umar Akmal,2010-2023,111,2265,27.62,134.66,171,111,2010,2023,14,Anchor
173,S Badrinath,2007-2017,141,2257,28.56,112.68,212,42,2007,2017,11,Anchor
174,BA King,2017-2025,108,2236,25.12,130.37,223,113,2017,2025,9,Anchor
175,JP Inglis,2017-2025,98,2235,28.65,143.26,205,82,2017,2025,9,Anchor
176,BKG Mendis,2018-2025,78,2213,32.07,140.24,212,85,2018,2025,8,Anchor
177,NJ Maddinson,2011-2023,124,2207,19.88,121.66,205,90,2011,2023,13,Anchor
178,AD Mathews,2009-2024,126,2189,28.42,128.01,157,86,2009,2024,16,Anchor
179,MK Lomror,2017-2024,107,2137,26.38,129.82,164,91,2017,2024,8,Anchor
180,JM Bairstow,2012-2025,82,2116,31.58,140.59,208,94,2012,2025,14,Anchor
181,Najmul Hossain Shanto,2016-2025,103,2116,23.25,111.95,213,49,2016,2025,10,Anchor
182,Iftikhar Ahmed,2016-2025,129,2107,25.38,128.0,150,101,2016,2025,10,Anchor
183,R Tewatia,2014-2025,169,2107,26.01,144.31,191,93,2014,2025,12,Balanced Player
184,Afif Hossain,2016-2025,108,2098,22.55,122.54,188,77,2016,2025,10,Anchor
185,WIA Fernando,2019-2025,73,2059,32.68,141.22,183,103,2019,2025,7,Anchor
186,UBT Chand,2010-2025,98,2050,23.03,115.81,185,83,2010,2025,16,Anchor
187,HWR Cartwright,2012-2025,109,2047,28.04,124.06,160,75,2012,2025,14,Anchor
188,PBB Rajapaksa,2012-2025,103,2039,23.98,140.04,181,100,2012,2025,14,Anchor
189,JO Holder,2013-2025,203,2037,18.51,133.05,133,123,2013,2025,13,Anchor
190,P Chopra,2014-2024,70,2035,33.91,114.58,203,46,2014,2024,11,Anchor
191,D Ramdin,2007-2021,147,2034,24.21,113.69,150,64,2007,2021,15,Anchor
192,Sachin Baby,2011-2025,103,2026,29.79,131.98,169,64,2011,2025,15,Anchor
193,HH Gibbs,2007-2013,93,2020,23.76,117.51,219,58,2007,2013,7,Anchor
194,Gurkeerat Singh,2011-2023,119,1986,25.46,123.66,188,70,2011,2023,13,Anchor
195,TD Agarwal,2015-2024,72,1976,29.49,128.81,209,52,2015,2024,10,Anchor
196,LJ Evans,2019-2025,80,1970,31.26,140.01,181,80,2019,2025,7,Anchor
197,CS Delport,2014-2022,97,1959,22.51,132.36,181,91,2014,2022,9,Anchor
198,D Wiese,2012-2025,168,1955,23.55,144.17,127,110,2012,2025,14,Anchor
199,CT Bancroft,2014-2025,83,1952,32.53,122.92,146,48,2014,2025,12,Anchor
200,L Ronchi,2008-2020,85,1927,26.39,154.53,202,94,2008,2020,13,Anchor
201,AT Carey,2017-2025,62,1922,33.13,129.68,188,51,2017,2025,9,Anchor
202,Shahid Afridi,2007-2022,166,1902,16.68,153.14,134,118,2007,2022,16,Anchor
203,IK Pathan,2007-2020,165,1897,22.85,123.34,145,64,2007,2020,14,Anchor
204,TLW Cooper,2010-2022,121,1891,21.01,124.81,164,63,2010,2022,13,Anchor
205,Shadab Khan,2017-2025,158,1882,18.82,136.77,131,96,2017,2025,9,Anchor
206,WG Jacks,2020-2025,76,1879,28.04,156.97,161,115,2020,2025,6,Anchor
207,Soumya Sarkar,2012-2025,127,1879,16.62,112.51,186,66,2012,2025,14,Anchor
208,Sikandar Raza,2014-2025,116,1859,22.13,137.19,146,90,2014,2025,12,Anchor
209,HE van der Dussen,2013-2025,64,1856,35.69,130.88,141,76,2013,2025,13,Anchor
210,Asif Ali,2013-2025,150,1818,18.55,148.65,110,129,2013,2025,13,Anchor
211,SP Jackson,2009-2023,84,1812,27.45,120.07,170,68,2009,2023,15,Anchor
212,MT Renshaw,2018-2025,80,1800,26.08,132.84,140,55,2018,2025,8,Anchor
213,JJ Peirson,2014-2024,114,1794,22.14,121.21,154,42,2014,2024,11,Anchor
214,RK Bhui,2014-2024,71,1789,33.75,143.81,124,107,2014,2024,11,Anchor
215,IR Jaggi,2009-2021,68,1750,34.31,121.95,190,38,2009,2021,13,Anchor
216,Shan Masood,2019-2025,68,1742,27.65,127.06,202,24,2019,2025,7,Anchor
217,R Dhawan,2007-2024,134,1739,29.98,121.43,159,40,2007,2024,18,Anchor
218,AS Lamba,2013-2021,60,1730,31.45,109.49,160,53,2013,2021,9,Anchor
219,LD Chandimal,2010-2025,68,1707,30.48,133.15,168,61,2010,2025,16,Anchor
220,GH Vihari,2010-2023,89,1707,21.88,115.72,157,42,2010,2023,14,Anchor
221,MJ Lumb,2010-2017,71,1684,24.76,131.87,194,52,2010,2017,8,Anchor
222,Mohammad Naim,2019-2025,71,1683,26.71,118.6,163,65,2019,2025,7,Anchor
223,Mohammad Nawaz (3),2016-2025,139,1682,21.02,124.68,135,77,2016,2025,10,Anchor
224,Rashid Khan,2016-2025,326,1682,13.67,147.02,130,106,2016,2025,10,Anchor
225,T Stubbs,2022-2025,84,1665,33.97,142.42,109,80,2022,2025,4,Anchor
226,SA Asnodkar,2007-2018,72,1658,24.02,124.84,185,42,2007,2018,12,Anchor
227,OA Shah,2007-2015,80,1654,30.07,119.5,112,62,2007,2015,9,Anchor
228,Abdul Samad,2019-2025,103,1642,26.06,149.27,107,104,2019,2025,7,Anchor
229,CR Brathwaite,2013-2024,168,1640,16.56,143.23,112,107,2013,2024,12,Anchor
230,Mohammad Haris,2022-2025,72,1634,23.68,154.15,167,81,2022,2025,4,Anchor
231,Towhid Hridoy,2019-2025,69,1630,28.59,131.77,145,63,2019,2025,7,Anchor
232,RD Rickelton,2023-2025,45,1625,39.63,157.61,156,86,2023,2025,3,Anchor
233,SB Harper,2016-2025,91,1623,19.79,130.25,141,54,2016,2025,10,Anchor
234,Vishnu Vinod,2014-2024,67,1620,31.15,142.23,144,82,2014,2024,11,Anchor
235,DB Ravi Teja,2007-2021,89,1618,26.09,108.59,152,33,2007,2021,15,Anchor
236,Rony Talukdar,2015-2025,84,1609,20.36,122.73,178,46,2015,2025,11,Anchor
237,STR Binny,2009-2021,147,1606,20.07,126.25,116,63,2009,2021,13,Anchor
238,B Vivek Singh,2014-2024,69,1605,27.67,132.31,158,75,2014,2024,11,Anchor
239,MDKJ Perera,2010-2025,66,1591,26.08,143.46,162,61,2010,2025,16,Anchor
240,ML Hayden,2007-2012,47,1589,37.83,136.86,176,60,2007,2012,6,Anchor
241,Nasir Hossain,2012-2023,89,1587,25.19,115.58,130,43,2012,2023,12,Anchor
242,KB Arun Karthik,2009-2024,101,1586,22.65,127.49,138,55,2009,2024,16,Anchor
243,Saim Ayub,2021-2025,62,1580,26.33,138.35,144,84,2021,2025,5,Anchor
244,BJ Webster,2017-2025,83,1577,28.67,120.38,109,48,2017,2025,9,Anchor
245,KS Bharat,2013-2024,81,1573,23.13,116.77,139,59,2013,2024,12,Anchor
246,HM Amla,2012-2020,52,1570,33.4,131.05,160,43,2012,2020,9,Anchor
247,M Bryant,2018-2025,76,1566,23.02,140.19,165,60,2018,2025,8,Anchor
248,Mehidy Hasan Miraz,2016-2025,112,1566,18.86,123.89,138,64,2016,2025,10,Anchor
249,PP Chawla,2007-2024,293,1565,14.9,123.52,135,59,2007,2024,18,Anchor
250,Sarfaraz Ahmed,2016-2024,91,1562,29.47,121.93,138,26,2016,2024,9,Anchor
251,Usman Khan,2021-2025,48,1561,36.3,152.29,178,60,2021,2025,5,Anchor
252,K Ashwin Hebbar,2015-2024,59,1552,31.04,130.31,163,58,2015,2024,10,Anchor
253,Nurul Hasan,2013-2025,129,1551,19.14,121.26,130,52,2013,2025,13,Anchor
254,Khushdil Shah,2017-2025,97,1548,30.96,152.21,109,92,2017,2025,9,Anchor
255,RN ten Doeschate,2009-2021,87,1547,27.62,136.9,91,70,2009,2021,13,Anchor
256,TL Suman,2007-2015,75,1546,24.53,125.69,145,65,2007,2015,9,Anchor
257,KV Sharma,2007-2025,184,1544,18.16,125.52,112,69,2007,2025,19,Anchor
258,CA Pujara,2007-2022,69,1543,29.67,112.38,181,27,2007,2022,16,Anchor
259,Shashank Singh,2015-2025,91,1530,27.32,145.29,116,73,2015,2025,11,Anchor
260,Misbah-ul-Haq,2007-2019,80,1528,29.38,116.19,100,63,2007,2019,13,Anchor
261,PK Panchal,2014-2023,59,1522,28.71,128.11,166,37,2014,2023,10,Anchor
262,AC Voges,2010-2018,80,1513,28.01,119.32,121,20,2010,2018,9,Anchor
263,AN Khare,2017-2024,53,1499,36.56,124.39,137,45,2017,2024,8,Anchor
264,A Taide,2019-2025,53,1492,30.44,140.88,179,44,2019,2025,7,Anchor
265,A Badoni,2021-2025,85,1486,29.72,137.46,119,58,2021,2025,5,Anchor
266,N Jagadeesan,2017-2024,66,1475,31.38,125.31,133,51,2017,2024,8,Anchor
267,PA Reddy,2010-2019,69,1468,24.06,123.15,123,50,2010,2019,10,Anchor
268,J Fraser-McGurk,2020-2025,77,1465,20.34,148.42,111,92,2020,2025,6,Anchor
269,Harbhajan Singh,2007-2021,251,1456,14.85,128.84,137,72,2007,2021,15,Anchor
270,SK Kamat,2007-2019,58,1438,26.14,110.44,148,46,2007,2019,13,Anchor
271,AV Wankhade,2011-2024,76,1434,29.87,136.31,82,69,2011,2024,14,Anchor
272,RL Chase,2018-2025,78,1430,28.6,125.32,116,51,2018,2025,8,Anchor
273,JDS Neesham,2013-2025,109,1426,21.93,134.52,114,63,2013,2025,13,Anchor
274,Yasir Ali,2015-2025,75,1425,24.56,128.84,103,74,2015,2025,11,Anchor
275,SR Patel,2012-2024,108,1418,22.5,120.16,133,45,2012,2024,13,Anchor
276,RRS Cornwall,2013-2025,86,1417,18.89,148.53,125,106,2013,2025,13,Anchor
277,Najibullah Zadran,2012-2024,89,1411,21.37,125.64,105,68,2012,2024,13,Anchor
278,BJ Rohrer,2009-2018,86,1402,26.45,131.27,108,41,2009,2018,10,Anchor
279,VP Solanki,2013-2024,71,1396,31.02,127.95,109,55,2013,2024,12,Anchor
280,Yashpal Singh,2007-2019,63,1393,26.78,106.74,139,19,2007,2019,13,Anchor
281,SC Ganguly,2007-2012,62,1392,24.85,106.91,142,43,2007,2012,6,Anchor
282,JA Morkel,2007-2018,140,1392,21.41,137.68,84,80,2007,2018,12,Anchor
283,Y Venugopal Rao,2007-2014,83,1390,23.55,121.71,107,50,2007,2014,8,Anchor
284,RR Hendricks,2021-2025,63,1387,27.19,117.54,133,43,2021,2025,5,Anchor
285,Anmolpreet Singh,2015-2024,71,1382,26.07,132.62,132,44,2015,2024,10,Anchor
286,Mominul Haque,2012-2024,85,1380,20.29,106.97,134,28,2012,2024,13,Anchor
287,JA Burns,2012-2023,71,1372,24.94,118.89,94,51,2012,2023,12,Anchor
288,Mosaddek Hossain,2015-2025,103,1372,21.77,109.93,114,41,2015,2025,11,Anchor
289,M Shahrukh Khan,2014-2025,112,1371,20.16,140.9,91,87,2014,2025,12,Anchor
290,MD Shanaka,2016-2024,90,1366,22.03,136.87,107,73,2016,2024,9,Anchor
291,GB Poddar,2013-2024,56,1342,27.38,122.33,122,38,2013,2024,12,Anchor
292,D Brevis,2022-2025,61,1341,27.36,147.85,80,100,2022,2025,4,Anchor
293,SP Senapati,2017-2024,49,1336,31.8,126.27,97,56,2017,2024,8,Anchor
294,MS Bisla,2007-2015,65,1324,21.7,110.7,143,35,2007,2015,9,Anchor
295,JP Faulkner,2011-2022,153,1322,21.67,124.01,73,48,2011,2022,12,Anchor
296,FH Allen,2018-2025,54,1318,25.34,178.34,116,93,2018,2025,8,Anchor
297,Milind Kumar,2010-2025,71,1317,26.87,112.46,120,27,2010,2025,16,Anchor
298,HJ Rana,2015-2024,59,1312,23.85,119.16,146,31,2015,2024,10,Anchor
