id,player,span,mat,runs,avg,sr,fours,sixes,start_year,end_year,career_length,Predicted_Category
1649,JL Pattinson,2010-2022,42,102,6.37,108.51,5,5,2010,2022,13,Inexperienced - Potential Power Hitter
1650,A Swain,2022-2024,8,102,17.0,115.9,9,3,2022,2024,3,Inexperienced - Potential Anchor
1651,L Wood,2022-2025,40,102,7.28,106.25,5,7,2022,2025,4,Inexperienced - Potential Power Hitter
1652,Yasir Shah,2015-2021,48,102,6.0,87.17,9,3,2015,2021,7,Inexperienced - Potential Power Hitter
1653,AR Kalsi,2024-2024,4,101,25.25,104.12,10,0,2024,2024,1,Inexperienced - Potential Power Hitter
1654,Mohsin Khan,2018-2024,62,101,8.41,116.09,7,4,2018,2024,7,Inexperienced - Potential Power Hitter
1655,MJ Prior,2007-2013,7,101,14.42,92.66,5,5,2007,2013,7,Inexperienced - Potential Anchor
1656,MS Raghav,2017-2017,5,101,20.2,136.48,16,2,2017,2017,1,Inexperienced - Potential Power Hitter
1657,Tanzim Hasan Sakib,2023-2025,32,101,9.18,84.87,9,3,2023,2025,3,Inexperienced - Potential Power Hitter
1658,G Ajitesh,2022-2023,11,100,11.11,161.29,9,6,2022,2023,2,Inexperienced - Potential Power Hitter
1659,TP Alsop,2025-2025,4,100,33.33,147.05,5,5,2025,2025,1,Inexperienced - Potential Power Hitter
1660,SS Bachhav,2016-2024,53,100,8.33,103.09,11,0,2016,2024,9,Inexperienced - Potential Power Hitter
1661,C Kranthi Kumar,2019-2021,6,100,25.0,129.87,8,4,2019,2021,3,Inexperienced - Potential Power Hitter
1662,Mohit Rathee,2023-2024,13,100,14.28,126.58,9,4,2023,2024,2,Inexperienced - Potential Power Hitter
1663,AR Mokhade,2022-2022,7,100,20.0,116.27,9,4,2022,2022,1,Inexperienced - Potential Power Hitter
1664,L Scott,2020-2025,9,100,20.0,129.87,6,5,2020,2025,6,Inexperienced - Potential Anchor
1665,RA Shah,2021-2022,8,100,20.0,74.62,7,0,2021,2022,2,Inexperienced - Potential Anchor
1666,A Alam,2011-2011,3,99,33.0,137.5,10,1,2011,2011,1,Inexperienced - Potential Power Hitter
1667,Auqib Nabi,2019-2024,27,99,9.9,103.12,2,7,2019,2024,6,Inexperienced - Potential Power Hitter
1668,RA Clarke,2022-2024,10,99,24.75,103.12,11,1,2022,2024,3,Inexperienced - Potential Anchor
1669,RS Gavaskar,2007-2010,8,99,16.5,100.0,14,1,2007,2010,4,Inexperienced - Potential Anchor
1670,AA Loharuka,2024-2024,6,99,16.5,123.75,11,4,2024,2024,1,Inexperienced - Potential Power Hitter
1671,K Rajnish,2021-2024,8,99,14.14,87.61,7,1,2021,2024,4,Inexperienced - Potential Power Hitter
1672,SD Sahoo,2009-2013,13,99,9.9,139.43,11,4,2009,2013,5,Inexperienced - Potential Power Hitter
1673,VT Suresh,2007-2007,5,99,19.8,125.31,7,2,2007,2007,1,Inexperienced - Potential Power Hitter
1674,TD Andrews,2016-2025,17,98,24.5,150.76,8,6,2016,2025,10,Finisher
1675,Dinesh Mor,2019-2021,12,98,16.33,102.08,10,1,2019,2021,3,Inexperienced - Potential Anchor
1676,CD Hinchliffe,2019-2023,27,98,8.9,80.99,5,1,2019,2023,5,Inexperienced - Potential Power Hitter
1677,RB Kalaria,2013-2022,40,98,9.8,118.07,8,5,2013,2022,10,Inexperienced - Potential Power Hitter
1678,JL Ontong,2009-2014,12,98,19.6,138.02,7,4,2009,2014,6,Inexperienced - Potential Anchor
1679,PR Rekhade,2022-2024,12,98,14.0,136.11,6,7,2022,2024,3,Inexperienced - Potential Power Hitter
1680,V Vinod Kumar,2010-2024,26,98,19.6,142.02,10,4,2010,2024,15,Finisher
1681,M Qadir,2009-2017,6,97,16.16,93.26,13,0,2009,2017,9,Inexperienced - Potential Anchor
1682,Anirudh Singh,2007-2010,11,97,10.77,89.81,10,1,2007,2010,4,Inexperienced - Potential Power Hitter
1683,A Choudhary,2013-2024,83,97,8.81,94.17,8,2,2013,2024,12,Inexperienced - Potential Power Hitter
1684,D Dasgupta,2007-2009,9,97,13.85,101.04,10,2,2007,2009,3,Inexperienced - Potential Power Hitter
1685,S Ghosh,2007-2011,6,97,16.16,94.17,10,2,2007,2011,5,Inexperienced - Potential Anchor
1686,A Mannu,2007-2010,16,97,16.16,129.33,12,3,2007,2010,4,Inexperienced - Potential Anchor
1687,D Nischal,2024-2024,6,97,16.16,98.97,11,0,2024,2024,1,Inexperienced - Potential Power Hitter
