id,player,span,mat,wickets,econ,sr,start_year,end_year,career_length
776,T Murphy,2021-2025,28,19,6.42,20.8,2021,2025,5
777,PKKK Naidu,2010-2015,19,19,8.14,19.1,2010,2015,6
778,S Nazar,2013-2015,15,19,5.3,17.7,2013,2015,3
779,V Nigam,2024-2025,21,19,8.36,19.8,2024,2025,2
780,SM Pollock,2007-2008,18,19,7.14,20.6,2007,2008,2
781,V Pratap Singh,2012-2021,22,19,8.56,23.6,2012,2021,10
782,Rajan Kumar,2022-2024,19,19,7.62,19.2,2022,2024,3
783,J Royal,2019-2023,23,19,7.71,17.4,2019,2023,5
784,Jatin S Saxena,2009-2018,18,19,6.24,15.4,2009,2018,10
785,Shakeeb Ahmed,2017-2019,16,19,8.6,15.7,2017,2019,3
786,Shapoor Zadran,2010-2016,17,19,6.82,18.4,2010,2016,7
787,RR Singh,2013-2017,25,19,6.83,27.1,2013,2017,5
788,RR Singh,2019-2024,33,19,7.55,30.4,2019,2024,6
789,SP Udeshi,2019-2023,27,19,6.11,32.2,2019,2023,5
790,Umer Khan,2019-2020,17,19,7.78,16.1,2019,2020,2
791,MRJ Watt,2016-2024,18,19,6.42,20.8,2016,2024,9
792,BJ Webster,2017-2025,83,19,7.38,29.6,2017,2025,9
793,SB Yadav,2009-2017,24,19,7.67,20.5,2009,2017,9
794,Zahoor Khan,2021-2024,14,19,7.91,15.1,2021,2024,4
795,KJ Abbott,2014-2020,20,18,9.26,23.0,2014,2020,7
796,RK Ahmed,2018-2022,32,18,8.23,21.1,2018,2022,5
797,Amarjeet Singh,2009-2014,18,18,8.08,19.5,2009,2014,6
798,MS Bhandage,2019-2025,29,18,8.66,16.6,2019,2025,7
799,IG Butler,2009-2013,14,18,8.51,14.5,2009,2013,5
800,AA Darekar,2010-2015,15,18,6.98,17.6,2010,2015,6
801,KR Hooda,2011-2015,21,18,6.14,18.4,2011,2015,5
802,SA Jacobs,2010-2019,32,18,7.43,31.7,2010,2019,10
803,SS Jain,2014-2023,20,18,6.25,18.3,2014,2023,10
804,T Kohli,2008-2022,57,18,9.06,27.5,2008,2022,15
805,BB Lather,2021-2024,24,18,8.28,22.3,2021,2024,4
806,KR Makvana,2007-2016,26,18,6.88,23.6,2007,2016,10
807,RTM Mendis,2020-2024,30,18,8.01,20.5,2020,2024,5
808,Mohammad Asif,2007-2010,16,18,8.76,20.9,2007,2010,4
809,Muktar Ali,2012-2023,48,18,8.8,31.1,2012,2023,12
810,Nagaho Chishi,2019-2024,27,18,8.83,20.6,2019,2024,6
811,C Nanda,2007-2010,20,18,6.91,20.3,2007,2010,4
812,A Negi,2018-2021,19,18,7.29,23.6,2018,2021,4
813,Parvez Sultan,2021-2024,16,18,8.04,15.7,2021,2024,4
814,Ramandeep Singh,2017-2025,71,18,8.22,12.8,2017,2025,9
815,R Ravindra,2024-2025,40,18,6.6,11.0,2024,2025,2
816,AM Salvi,2007-2013,19,18,8.12,21.6,2007,2013,7
817,PADLR Sandakan,2014-2024,19,18,8.6,22.0,2014,2024,11
818,AA Sarwate,2014-2023,18,18,7.4,17.8,2014,2023,10
819,AJ Shinde,2007-2014,20,18,7.21,20.0,2007,2014,8
820,RJ Sidebottom,2009-2012,14,18,7.3,14.6,2009,2012,4
821,LMP Simmons,2009-2022,203,18,9.14,16.5,2009,2022,14
822,SV Trivedi,2015-2021,20,18,8.86,21.6,2015,2021,7
823,Zafar Gohar,2016-2022,17,18,8.39,15.4,2016,2022,7
824,Abdul Razzaq,2009-2018,32,17,8.21,25.3,2009,2018,10
825,Abhijeet Saket,2019-2023,18,17,8.47,19.9,2019,2023,5
826,Aizaz Cheema,2014-2019,11,17,8.43,13.0,2014,2019,6
827,Amrinder Singh,2010-2011,10,17,4.88,13.2,2010,2011,2
828,B Aparajith,2013-2023,62,17,6.03,21.2,2013,2023,11
829,Ashar Zaidi,2015-2016,17,17,5.5,16.9,2015,2016,2
830,A Aswin Crist,2015-2021,11,17,7.69,12.7,2015,2021,7
831,RR Bhatkal,2007-2012,20,17,7.65,17.4,2007,2012,6
832,A Dev Goud,2019-2024,7,17,6.4,8.8,2019,2024,6
833,Hamid Hassan,2010-2021,13,17,5.6,16.7,2010,2021,12
834,DJ Harris,2010-2014,41,17,8.06,17.6,2010,2014,5
835,Imtiaz Ahmed,2009-2017,20,17,7.75,24.3,2009,2017,9
836,AS Jamwal,2019-2024,26,17,6.42,31.7,2019,2024,6
837,M Jangra,2019-2024,17,17,8.35,21.0,2019,2024,6
838,E Malinga,2024-2025,11,17,9.13,14.2,2024,2025,2
839,AL Menaria,2011-2022,72,17,6.55,26.5,2011,2022,12
840,EMDY Munaweera,2012-2023,48,17,6.71,26.8,2012,2023,12
841,DM Parwani,2023-2024,9,17,10.43,10.3,2023,2024,2
842,TR Patel,2019-2024,17,17,8.67,20.4,2019,2024,6
843,T Pradeep,2017-2022,22,17,8.55,27.5,2017,2022,6
844,Pramod Madushan,2021-2024,19,17,9.36,19.8,2021,2024,4
845,JA Prestwidge,2019-2023,25,17,8.32,20.9,2019,2023,5
846,SL Rainbird,2015-2022,24,17,8.9,26.5,2015,2022,8
847,AV Rajput,2021-2024,23,17,8.79,12.8,2021,2024,4
848,DS Rathi,2024-2025,15,17,7.59,20.8,2024,2025,2
849,PR Rekhade,2022-2024,12,17,6.0,15.5,2022,2024,3
850,S Sam,2013-2015,13,17,6.16,17.6,2013,2015,3
851,SMSM Senanayake,2012-2016,22,17,6.28,27.5,2012,2016,5
852,G Shankara Rao,2007-2010,15,17,6.86,15.8,2007,2010,4
853,SH Srinivas,2011-2017,22,17,7.13,18.2,2011,2017,7
854,TL Suman,2007-2015,75,17,7.92,25.0,2007,2015,9
855,P Suyal,2012-2021,24,17,7.75,29.5,2012,2021,10
856,Tajinder Singh,2017-2025,35,17,6.61,18.3,2017,2025,9
857,Tarani Sa,2021-2024,18,17,8.39,20.0,2021,2024,4
858,AJ Turner,2013-2025,148,17,7.64,20.8,2013,2025,13
859,SC van Schalkwyk,2009-2025,17,17,10.05,18.1,2009,2025,17
860,BTJ Wheal,2021-2024,15,17,7.89,17.8,2021,2024,4
861,AV Vasavada,2011-2021,40,16,5.63,14.5,2011,2021,11
862,NP Kenjige,2024-2025,17,16,8.16,19.3,2024,2025,2
863,AD Nath,2013-2022,86,16,7.86,16.5,2013,2022,10
864,Avinash Yadav,2010-2022,22,16,7.18,25.8,2010,2022,13
865,A Bali,2009-2014,18,16,6.31,16.6,2009,2014,6
866,A Chaprana,2019-2021,15,16,7.44,20.3,2019,2021,3
867,N Chaudhary,2017-2025,32,16,7.83,24.7,2017,2025,9
868,BFW de Leede,2021-2024,15,16,8.22,13.8,2021,2024,4
869,AM Fernando,2020-2024,16,16,9.78,21.1,2020,2024,5
870,C Green,2019-2024,43,16,9.04,28.9,2019,2024,6
871,HMRKB Herath,2009-2016,15,16,5.47,20.0,2009,2016,8
872,KA Jamieson,2021-2025,15,16,9.58,18.7,2021,2025,5
873,AG Jungade,2011-2016,18,16,8.37,21.4,2011,2016,6
874,SS Kumar,2009-2019,23,16,8.02,17.2,2009,2019,11
875,Mandeep Singh,2010-2024,211,16,7.38,22.6,2010,2024,15
876,AR Nedd,2020-2025,18,16,7.29,22.0,2020,2025,6
877,KD Patel,2018-2023,21,16,8.57,28.3,2018,2023,6
878,Preetamjit Das,2007-2010,15,16,6.19,19.3,2007,2010,4
879,AN Raj,2021-2022,10,16,6.84,13.3,2021,2022,2
880,RR Raj,2014-2017,14,16,7.19,19.4,2014,2017,4
881,Rakibul Hasan,2023-2025,22,16,7.57,24.5,2023,2025,3
882,C Rakshann Readdi,2021-2024,16,16,7.47,19.6,2021,2024,4
883,LM Ralte,2019-2024,33,16,9.73,31.5,2019,2024,6
884,JK Reed,2015-2017,10,16,8.93,11.6,2015,2017,3
885,A Sakuja,2011-2018,15,16,5.16,20.6,2011,2018,8
886,AK Sarkar,2013-2024,20,16,8.2,24.3,2013,2024,12
887,JPR Scantlebury-Searles,2014-2019,46,16,10.36,18.3,2014,2019,6
888,PN Seet,2013-2017,18,16,8.53,22.0,2013,2017,5
889,AA Sengupta,2021-2024,17,16,9.42,17.7,2021,2024,4
890,SM Sharif,2016-2024,14,16,8.47,18.0,2016,2024,9
891,G Singh,2011-2014,15,16,6.8,18.7,2011,2014,4
892,Sachin K Singh,2021-2024,24,16,7.41,22.3,2021,2024,4
893,D Swaroop Kumar,2013-2019,16,16,7.76,16.1,2013,2019,7
894,RN ten Doeschate,2009-2021,87,16,9.31,19.0,2009,2021,13
895,V Tokas,2010-2019,17,16,8.24,18.0,2010,2019,10
896,S Tyagi,2009-2020,25,16,7.91,22.7,2009,2020,12
897,Zia-ul-Haq,2016-2025,20,16,8.56,21.3,2016,2025,10
898,S Abbas Ali,2007-2013,19,15,7.1,14.0,2007,2013,7
899,YA Abdulla,2009-2010,11,15,8.81,13.9,2009,2010,2
900,Ahmed Daniyal,2021-2025,17,15,9.25,24.0,2021,2025,5
901,Amitoze Singh,2010-2013,17,15,6.44,17.8,2010,2013,4
902,Asif Afridi,2022-2025,14,15,7.01,16.9,2022,2025,4
