id,player,span,mat,wickets,econ,sr,start_year,end_year,career_length
1286,JD Ryder,2009-2017,40,8,7.98,30.2,2009,2017,9
1287,Sachin Baby,2011-2025,103,8,7.83,25.0,2011,2025,15
1288,C Sakure,2017-2017,3,8,7.25,9.0,2017,2017,1
1289,Santosh Lal,2007-2010,6,8,8.33,11.2,2007,2010,4
1290,A Sen,2019-2023,19,8,7.58,18.0,2019,2023,5
1291,M Shahrukh Khan,2014-2025,112,8,8.29,23.5,2014,2025,12
1292,Shivam Shukla,2024-2024,8,8,6.3,22.5,2024,2024,1
1293,Shivendra Singh,2018-2021,13,8,7.49,32.6,2018,2021,4
1294,Shubham Singh,2019-2023,10,8,8.0,24.7,2019,2023,5
1295,SG Singh,2015-2024,16,8,7.82,36.1,2015,2024,10
1296,SI Sopariya,2023-2023,10,8,6.25,27.0,2023,2023,1
1297,S Sureshnath,2009-2011,5,8,7.26,13.6,2009,2011,3
1298,Suryansh Shedge,2024-2025,14,8,9.81,17.1,2024,2025,2
1299,Swarajeet Das,2019-2024,24,8,10.14,32.0,2019,2024,6
1300,AB Tanwar,2016-2022,10,8,6.11,20.1,2016,2022,7
1301,DHAP Tharanga,2020-2022,10,8,8.37,20.2,2020,2022,3
1302,GC Tonge,2013-2014,7,8,8.16,13.5,2013,2014,2
1303,C Valente,2018-2021,14,8,9.08,26.2,2018,2021,4
1304,KL Vanrotlinga,2024-2024,7,8,10.0,20.2,2024,2024,1
1305,Y Venugopal Rao,2007-2014,83,8,8.78,38.2,2007,2014,8
1306,Vishal Gaur,2024-2024,6,8,8.9,16.5,2024,2024,1
1307,Vivrant Sharma,2021-2024,24,8,7.97,11.7,2021,2024,4
1308,SD Vohra,2007-2010,4,8,5.19,11.1,2007,2010,4
1309,N Wagner,2009-2013,8,8,7.63,22.5,2009,2013,5
1310,UWMBCA Welegedara,2009-2010,7,8,8.58,16.2,2009,2010,2
1311,A Mangaraj,2007-2015,11,7,7.58,26.5,2007,2015,9
1312,Gaurav Gambhir,2019-2021,9,7,4.88,21.4,2019,2021,3
1313,A Absolem,2007-2010,9,7,6.7,24.4,2007,2010,4
1314,KR Adhav,2009-2010,7,7,6.8,22.2,2009,2010,2
1315,CK Akshay,2013-2014,7,7,7.44,15.4,2013,2014,2
1316,K Ashwin Hebbar,2015-2024,59,7,9.07,22.8,2015,2024,10
1317,T Atchuta Rao,2013-2014,6,7,7.45,17.7,2013,2014,2
1318,HK Badani,2007-2011,18,7,6.5,18.8,2007,2011,5
1319,SA Badiuzzama,2013-2014,9,7,7.57,24.0,2013,2014,2
1320,A Chahal,2018-2019,7,7,8.0,18.8,2018,2019,2
1321,S Chaudhary,2017-2024,34,7,7.53,39.1,2017,2024,8
1322,GJ Delany,2021-2024,13,7,7.82,23.4,2021,2024,4
1323,S Dhaliwal,2014-2024,29,7,7.13,32.5,2014,2024,11
1324,Dhruv Singh,2007-2013,25,7,6.54,26.5,2007,2013,7
1325,ND Doshi,2010-2011,8,7,7.2,20.0,2010,2011,2
1326,CA Dry,2024-2025,9,7,9.69,22.2,2024,2025,2
1327,VV Gite,2019-2019,9,7,8.63,19.8,2019,2019,1
1328,J Glen,2019-2020,13,7,5.9,8.5,2019,2020,2
1329,AA Gogoi,2019-2019,6,7,6.57,18.0,2019,2019,1
1330,Himan Phukan,2021-2024,9,7,7.96,24.0,2021,2024,4
1331,DT Johnston,2009-2012,8,7,7.57,22.2,2009,2012,4
1332,AS Karambelkar,2012-2019,19,7,8.34,22.2,2012,2019,8
1333,SK Kashyap,2021-2023,9,7,7.92,21.4,2021,2023,3
1334,SA Khadir,2019-2019,7,7,9.86,22.8,2019,2019,1
1335,Krishan Alang,2019-2021,6,7,7.68,16.2,2019,2021,3
1336,NM Kulkarni,2007-2007,8,7,5.75,27.4,2007,2007,1
1337,DT Kumaran,2007-2007,4,7,8.85,12.0,2007,2007,1
1338,Lalit Yadav,2017-2023,10,7,7.68,26.4,2017,2023,7
1339,DW Lawrence,2020-2025,12,7,8.23,11.1,2020,2025,6
1340,C le Roux,2024-2025,9,7,9.43,23.7,2024,2025,2
1341,KS Lokuarachchi,2009-2013,11,7,9.75,20.5,2009,2013,5
1342,SCG MacGill,2011-2012,8,7,6.64,21.4,2011,2012,2
1343,V Manoharan,2014-2019,11,7,8.0,18.0,2014,2019,6
1344,SM Meherob,2024-2025,10,7,7.17,16.0,2024,2025,2
1345,SS Mishra,2023-2023,4,7,9.37,13.7,2023,2023,1
1346,Mohammad Ashraful,2007-2019,41,7,8.78,25.5,2007,2019,13
1347,Mohammad Sharif,2013-2017,17,7,8.78,45.8,2013,2017,5
1348,TL Moreki,2018-2018,3,7,7.66,7.7,2018,2018,1
1349,SD Nadkarni,2009-2009,5,7,6.17,14.5,2009,2009,1
1350,Nazmul Hossain,2012-2013,7,7,8.8,17.1,2012,2013,2
1351,N Nitin Sai Yadav,2024-2024,4,7,6.93,12.8,2024,2024,1
1352,VK Ostwal,2022-2024,8,7,6.48,24.5,2022,2024,3
1353,MK Patel,2021-2021,9,7,9.29,20.5,2021,2021,1
1354,SA Patterson,2012-2018,7,7,7.71,20.0,2012,2018,7
1355,KP Pietersen,2007-2018,127,7,7.77,30.8,2007,2018,12
1356,Prashant K Singh,2019-2024,8,7,7.44,19.5,2019,2024,6
1357,C Raghu,2007-2007,9,7,7.7,24.5,2007,2007,1
1358,H Rathod,2021-2024,10,7,8.39,29.0,2021,2024,4
1359,SS Rathour,2016-2021,16,7,6.11,29.1,2016,2021,6
1360,KTH Ratnayake,2021-2022,8,7,6.9,20.8,2021,2022,2
1361,KC Raval,2011-2014,12,7,6.15,11.1,2011,2014,4
1362,P Ray Barman,2019-2024,9,7,8.4,21.4,2019,2024,6
1363,B Rout,2021-2021,5,7,7.6,17.1,2021,2021,1
1364,RH Saha,2007-2014,14,7,6.29,14.5,2007,2014,8
1365,Salauddin Sakil,2019-2024,6,7,8.43,14.4,2019,2024,6
1366,RS Sambyal,2010-2016,6,7,7.35,17.1,2010,2016,7
1367,P Saravana Kumar,2021-2021,3,7,9.55,7.7,2021,2021,1
1368,PM Seelaar,2009-2021,15,7,7.2,19.8,2009,2021,13
1369,JN Shah,2007-2017,36,7,8.48,10.7,2007,2017,11
1370,HS Sharath,2014-2015,9,7,6.46,25.7,2014,2015,2
1371,Shoaib Md Khan,2017-2022,15,7,7.18,42.0,2017,2022,6
1372,KI Simmonds,2023-2025,9,7,7.45,17.1,2023,2025,3
1373,KP Singh,2019-2024,34,7,9.01,39.2,2019,2024,6
1374,PJ Singh,2024-2024,6,7,7.66,17.0,2024,2024,1
1375,JJ Smit,2021-2024,15,7,7.91,30.0,2021,2024,4
1376,Sompal Kami,2014-2024,6,7,5.55,15.4,2014,2024,11
1377,PR Stirling,2009-2025,66,7,8.03,24.0,2009,2025,17
1378,Sumit Lama,2019-2021,10,7,9.42,16.2,2019,2021,3
1379,B Swanepoel,2024-2025,7,7,8.5,18.8,2024,2025,2
1380,P Thamaraikannan,2019-2021,9,7,8.26,16.2,2019,2021,3
1381,NT Tilak Varma,2019-2025,90,7,7.68,26.0,2019,2025,7
1382,TC Vanlalremruata,2023-2023,7,7,7.78,16.2,2023,2023,1
1383,G Vignesh,2010-2011,5,7,5.94,15.4,2010,2011,2
1384,KM Waingankar,2009-2013,6,7,8.21,16.2,2009,2013,5
1385,C Wickramasinghe,2022-2024,10,7,10.64,15.1,2022,2024,3
1386,JP Zope,2017-2018,7,7,8.48,20.0,2017,2018,2
1387,Abdul Basith,2022-2024,23,6,7.45,31.0,2022,2024,3
1388,Abdur Rehman,2010-2016,4,6,8.21,14.0,2010,2016,7
1389,FD Adams,2023-2023,6,6,9.19,21.0,2023,2023,1
1390,Agha Salman,2014-2025,40,6,7.65,30.1,2014,2025,12
1391,DS Airee,2024-2024,3,6,5.15,9.5,2024,2024,1
1392,AA Ansari,2009-2015,9,6,8.21,31.1,2009,2015,7
1393,S Baig,2010-2019,12,6,8.21,28.8,2010,2019,10
1394,N Boje,2010-2011,10,6,7.34,32.0,2010,2011,2
1395,S Chakraborty,2014-2014,4,6,7.3,13.0,2014,2014,1
1396,TK Chanda,2007-2011,7,6,8.85,23.8,2007,2011,5
1397,H Chawla,2013-2016,23,6,7.68,16.6,2013,2016,4
1398,MJ Clarke,2007-2012,22,6,7.96,28.0,2007,2012,6
1399,MB Darshan,2021-2021,4,6,8.92,14.0,2021,2021,1
1400,PP Das,2015-2021,6,6,6.33,9.0,2015,2021,7
1401,TH David,2018-2025,195,6,8.37,59.6,2018,2025,8
1402,Dawlat Zadran,2012-2016,10,6,8.08,34.0,2012,2016,5
1403,Z de Bruyn,2009-2012,11,6,9.76,21.0,2009,2012,4
1404,AP Devcich,2014-2019,39,6,8.42,35.0,2014,2019,6
1405,Sunil M Dholpure,2007-2007,4,6,8.35,14.0,2007,2007,1
1406,MW Dixon,2014-2016,4,6,8.25,16.0,2014,2016,3
1407,RM Duffield,2012-2015,7,6,8.91,24.0,2012,2015,4
1408,N Dutta,2015-2024,5,6,8.43,17.6,2015,2024,10
1409,SA Engelbrecht,2009-2024,8,6,7.3,13.0,2009,2024,16
1410,Farman Ahmed,2009-2012,11,6,7.47,19.0,2009,2012,4
1411,AJ Finch,2010-2024,219,6,9.2,31.8,2010,2024,15
1412,Gajendra Singh,2024-2024,3,6,7.9,11.0,2024,2024,1
1413,AN Garhwal,2014-2023,34,6,6.37,16.0,2014,2023,10
1414,MR Gillespie,2007-2007,6,6,7.86,19.8,2007,2007,1
1415,L Guthrie,2021-2022,6,6,9.27,22.0,2021,2022,2
1416,Harpreet Singh,2010-2024,99,6,5.7,23.5,2010,2024,15
1417,CK Holder,2018-2020,7,6,10.33,21.0,2018,2020,3
1418,KM Jadhav,2007-2023,153,6,7.81,16.0,2007,2023,17
1419,RS Jaganath Sinivas,2023-2023,5,6,7.89,15.8,2023,2023,1
1420,P Jayachandra,2007-2007,8,6,6.76,13.0,2007,2007,1
1421,VM Jivrajani,2019-2019,5,6,7.05,19.0,2019,2019,1
1422,AA Joshi,2011-2021,30,6,7.4,10.0,2011,2021,11
1423,Kaleemullah,2021-2024,6,6,7.73,15.0,2021,2024,4
1424,SS Karmakar,2007-2007,5,6,6.31,15.6,2007,2007,1
1425,CA Karthik,2021-2021,5,6,5.66,18.1,2021,2021,1
1426,S Kaushik,2016-2017,10,6,8.73,34.0,2016,2017,2
1427,MA Khote,2007-2008,11,6,8.5,22.0,2007,2008,2
1428,V Kohli,2007-2025,323,6,8.92,57.0,2007,2025,19
1429,J Kousik,2016-2021,11,6,7.29,17.0,2016,2021,6
1430,Kunal Yadav,2024-2024,5,6,10.76,18.6,2024,2024,1
1431,A Lalith Mohan,2021-2023,8,6,7.77,31.0,2021,2023,3
1432,Lalnunkima Varte,2019-2021,12,6,9.18,33.0,2019,2021,3
1433,T Luus,2025-2025,5,6,9.16,18.0,2025,2025,1
1434,HA Majmudar,2007-2007,4,6,5.64,14.0,2007,2007,1
1435,Manzoor Dar,2017-2021,23,6,7.66,19.8,2017,2021,5
1436,Mehran Khan,2016-2024,7,6,8.0,9.0,2016,2024,9
1437,DJ Mitchell,2014-2025,51,6,11.52,29.6,2014,2025,12
1438,D Mohammed,2009-2013,10,6,6.84,24.8,2009,2013,5
1439,MT Mukherjee,2013-2015,5,6,6.82,15.6,2013,2015,3
1440,AS Naidu,2007-2011,14,6,7.72,25.0,2007,2011,5
1441,Nawaz Khan,2023-2024,10,6,9.65,26.0,2023,2024,2
1442,Najmul Hossain Shanto,2016-2025,103,6,7.41,19.8,2016,2025,10
1443,Nipan Deka,2018-2024,10,6,10.56,19.5,2018,2024,7
1444,W O'Rourke,2025-2025,3,6,12.77,10.3,2025,2025,1
1445,JA Odedra,2009-2014,7,6,7.2,25.8,2009,2014,6
1446,RV Pawar,2007-2009,8,6,8.13,22.0,2007,2009,3
1447,PK Pradhan,2024-2024,3,6,10.25,9.1,2024,2024,1
1448,A Pratap Singh,2013-2016,3,6,5.08,12.0,2013,2016,4
1449,W Prestwidge,2022-2025,6,6,9.48,15.5,2022,2025,4
1450,V Puthur,2025-2025,5,6,9.08,12.0,2025,2025,1
1451,SA Quadri,2010-2011,6,6,8.08,12.0,2010,2011,2
1452,Rameez Khan,2010-2013,16,6,7.4,30.0,2010,2013,4
1453,A Rasool,2009-2013,7,6,6.92,20.5,2009,2013,5
1454,R Ravi Kumar,2022-2023,5,6,8.4,15.0,2022,2023,2
1455,DB Ravi Teja,2007-2021,89,6,7.85,21.0,2007,2021,15
1456,PIS Reddy,2007-2010,6,6,5.52,21.0,2007,2010,4
1457,RR Richards,2013-2013,4,6,7.15,13.8,2013,2013,1
1458,CJ Rocchiccioli,2023-2023,5,6,8.55,18.0,2023,2023,1
1459,SP Roshan Kumar,2024-2024,7,6,13.7,10.0,2024,2024,1
1460,Sabbir Rahman,2012-2025,124,6,6.81,16.0,2012,2025,14
1461,S Saini,2019-2021,9,6,6.73,26.0,2019,2021,3
1462,K Saiteja,2023-2023,5,6,8.66,18.0,2023,2023,1
1463,SS Santhamoorthy,2019-2021,3,6,8.5,10.0,2019,2021,3
1464,Sanvir Singh,2021-2024,36,6,9.25,24.0,2021,2024,4
1465,RG Sharma,2007-2007,4,6,7.83,6.0,2007,2007,1
1466,Shiraz Ahmed,2021-2022,7,6,9.34,23.0,2021,2022,2
1467,Shivam Sharma,2021-2024,8,6,6.59,27.0,2021,2024,4
1468,Shoaib Akhtar,2008-2010,5,6,9.0,13.0,2008,2010,3
1469,SU Shrivastava,2009-2019,40,6,7.97,11.6,2009,2019,11
1470,HV Singh,2019-2023,12,6,9.83,28.6,2019,2023,5
1471,TP Singh,2007-2011,17,6,8.2,10.0,2007,2011,5
1472,VD Solanki,2007-2007,7,6,6.43,25.5,2007,2007,1
1473,WER Somerville,2016-2018,9,6,6.7,30.0,2016,2018,3
1474,Sourav Dey,2023-2023,10,6,9.09,20.6,2023,2023,1
1475,ND Stewart,2009-2016,23,6,9.29,32.5,2009,2016,8
1476,AS Thakare,2021-2021,4,6,5.54,15.5,2021,2021,1
1477,DJ Thornely,2008-2013,21,6,7.42,21.0,2008,2013,6
1478,P Utseya,2007-2014,9,6,6.64,34.0,2007,2014,8
1479,Vivek Kumar,2019-2019,9,6,8.36,30.8,2019,2019,1
1480,MTC Waller,2009-2011,5,6,6.85,14.0,2009,2011,3
1481,CM Willoughby,2009-2009,4,6,9.2,15.0,2009,2009,1
1482,SA Yadav,2010-2025,258,6,6.36,22.0,2010,2025,16
1483,SG Yadav,2010-2011,6,6,8.26,19.0,2010,2011,2
1484,Zeeshan Ansari,2019-2025,11,6,9.64,37.8,2019,2025,7
1485,Sunny Patel,2007-2025,17,5,9.58,28.8,2007,2025,19
1486,AB Sonkar,2009-2009,5,5,5.36,20.8,2009,2009,1
1487,LL Samal,2009-2018,18,5,6.75,41.4,2009,2018,10
1488,Omar Alam,2016-2016,3,5,6.09,13.2,2016,2016,1
1489,Aaqib Khan,2021-2024,4,5,6.52,13.8,2021,2024,4
1490,Aayush Singh,2024-2024,2,5,4.16,7.2,2024,2024,1
1491,Abhishek Mohan,2018-2019,4,5,8.06,18.0,2018,2019,2
1492,Adnan Rasool,2014-2016,9,5,8.11,31.2,2014,2016,3
1493,Akeem Jordan,2019-2023,3,5,10.62,9.6,2019,2023,5
1494,Anurag Singh,2013-2015,4,5,6.33,14.4,2013,2015,3
1495,Avneesh Sudha,2019-2024,29,5,8.77,32.4,2019,2024,6
1496,Azeem Rafiq,2012-2012,6,5,7.39,25.0,2012,2012,1
1497,NP Basil,2022-2024,4,5,7.43,14.2,2022,2024,3
1498,NB Beard,2013-2013,6,5,7.72,21.6,2013,2013,1
1499,FD Bhaja,2009-2011,6,5,10.06,18.0,2009,2011,3
1500,R Bist,2007-2021,38,5,7.4,12.0,2007,2021,15
1501,D Brevis,2022-2025,61,5,8.66,9.0,2022,2025,4
1502,BA Carse,2023-2023,9,5,9.11,26.2,2023,2023,1
1503,PB Chakraborty,2014-2014,5,5,5.0,19.2,2014,2014,1
1504,ARPS Chauhan,2010-2018,10,5,8.66,14.4,2010,2018,9
1505,SJ Cook,2024-2024,2,5,10.46,9.4,2024,2024,1
1506,AG Cremer,2010-2017,7,5,6.8,24.0,2010,2017,8
1507,A Desai,2024-2025,3,5,10.54,13.2,2024,2025,2
1508,SS Dhuri,2007-2011,8,5,7.28,33.6,2007,2011,5
1509,AP Dole,2010-2010,3,5,10.18,13.2,2010,2010,1
1510,G Elaizar,2007-2011,5,5,5.25,9.6,2007,2011,5
1511,MG Erasmus,2021-2024,15,5,6.47,25.2,2021,2024,4
1512,Farhad Hossain,2012-2013,13,5,7.5,19.2,2012,2013,2
1513,Farmanullah,2024-2025,7,5,9.63,22.8,2024,2025,2
1514,Gagandeep Singh,2023-2024,11,5,7.37,29.6,2023,2024,2
1515,MG Gale,2013-2014,6,5,8.01,20.2,2013,2014,2
1516,SP Gauchan,2014-2014,3,5,6.72,13.2,2014,2014,1
1517,Girish Rauturi,2019-2021,9,5,10.0,19.2,2019,2021,3
1518,SM Gugale,2015-2021,18,5,9.52,15.0,2015,2021,7
1519,LJP Gunaratne,2011-2011,2,5,5.87,9.6,2011,2011,1
1520,Harvinder Singh,2007-2007,8,5,6.4,36.0,2007,2007,1
1521,D Heyliger,2024-2024,3,5,5.0,13.2,2024,2024,1
1522,Himanshu Singh,2024-2024,7,5,8.15,22.8,2024,2024,1
1523,MG Hogan,2012-2013,8,5,8.07,33.6,2012,2013,2
1524,A Jadhav,2007-2009,9,5,6.27,26.4,2007,2009,3
1525,GSNFG Jayasuriya,2013-2024,20,5,8.74,25.4,2013,2024,12
1526,Jishan Alam,2024-2025,9,5,7.8,31.2,2024,2025,2
1527,ROO Jordan,2014-2014,4,5,9.66,14.4,2014,2014,1
1528,A Kant Singh,2017-2019,5,5,7.95,19.0,2017,2019,3
1529,Karan Dagar,2019-2019,2,5,3.62,9.6,2019,2019,1
1530,SP Kirby,2011-2011,4,5,7.9,13.2,2011,2011,1
1531,N Kohli,2021-2021,7,5,9.29,24.8,2021,2021,1
1532,A Konwar,2009-2010,8,5,6.7,24.0,2009,2010,2
1533,Kranthi Kumar,2015-2021,8,5,7.76,30.0,2015,2021,7
1534,Kshitiz Sharma,2013-2023,25,5,7.08,28.8,2013,2023,11
1535,C Kyewuta,2024-2024,4,5,7.36,15.8,2024,2024,1
1536,Lalhruaizela,2019-2023,28,5,8.16,14.4,2019,2023,5
1537,AR Lamba,2018-2021,6,5,8.77,26.4,2018,2021,4
1538,RA Lewis,2019-2020,8,5,7.75,19.2,2019,2020,2
1539,CJ Liddle,2013-2013,9,5,7.88,32.4,2013,2013,1
1540,AR McBrine,2014-2016,5,5,9.18,13.2,2014,2016,3
1541,JM McMillan,2013-2013,5,5,6.05,21.6,2013,2013,1
1542,M Manhas,2007-2017,91,5,8.07,22.0,2007,2017,11
1543,CS Martin,2007-2011,6,5,7.47,27.6,2007,2011,5
1544,B Masaba,2024-2024,4,5,5.75,14.4,2024,2024,1
1545,WP Masakadza,2016-2022,4,5,7.21,16.8,2016,2022,7
1546,M Matthew,2014-2014,8,5,9.08,28.8,2014,2014,1
1547,Mayank Rawat,2024-2024,9,5,7.84,17.6,2024,2024,1
1548,NE Mbhalati,2012-2012,5,5,8.31,19.2,2012,2012,1
1549,NA McSweeney,2020-2025,26,5,6.79,10.6,2020,2025,6
1550,P Mehra,2010-2012,14,5,6.17,20.4,2010,2012,3
1551,Mehran Mumtaz,2024-2024,5,5,6.63,22.8,2024,2024,1
1552,KH Meitei,2019-2021,13,5,8.91,42.0,2019,2021,3
1553,KP Meiyappan,2022-2022,3,5,6.25,14.4,2022,2022,1
1554,Milind Kumar,2010-2025,71,5,8.58,40.4,2010,2025,16
1555,Mohammad Abbas,2019-2019,3,5,5.75,14.4,2019,2019,1
1556,Mohammad Saddam,2016-2019,9,5,9.96,23.6,2016,2019,4
1557,Mominul Haque,2012-2024,85,5,8.0,15.6,2012,2024,13
1558,IA Moran,2012-2015,6,5,9.6,12.0,2012,2015,4
1559,Mukesh Sharma,2009-2010,9,5,6.43,33.2,2009,2010,2
1560,P Mukherjee,2007-2007,8,5,6.28,25.2,2007,2007,1
1561,Mustaq Beg,2022-2022,6,5,6.59,26.4,2022,2022,1
1562,Mustafa Iqbal,2014-2014,3,5,7.33,10.8,2014,2014,1
1563,K Nadeeshan,2020-2024,7,5,8.4,24.0,2020,2024,5
1564,Naman Dhir,2023-2025,35,5,7.32,23.6,2023,2025,3
1565,Nitesh Sedai,2019-2023,25,5,8.42,48.0,2019,2023,5
1566,K Nitish Kumar Reddy,2021-2025,33,5,11.2,30.2,2021,2025,5
1567,Noor Hossain,2012-2013,8,5,7.6,27.6,2012,2013,2
1568,S Noushad,2011-2011,3,5,5.4,14.0,2011,2011,1
1569,TL O'Connell,2019-2024,9,5,8.56,19.2,2019,2024,6
1570,E O'Reilly,2010-2013,5,5,8.25,24.0,2010,2013,4
1571,S Pahal,2017-2017,5,5,6.47,20.4,2017,2017,1
1572,KS Parida,2007-2007,5,5,6.46,18.0,2007,2007,1
1573,SN Patel,2023-2023,5,5,11.05,21.6,2023,2023,1
1574,GD Phillips,2017-2025,97,5,10.33,25.2,2017,2025,9
1575,NJSR Prasad,2010-2010,4,5,7.35,16.8,2010,2010,1
1576,Pratyush Singh,2014-2021,23,5,7.64,27.8,2014,2021,8
1577,Prayash Singh,2018-2023,17,5,7.85,25.2,2018,2023,6
1578,AV Rai,2021-2021,5,5,9.66,18.0,2021,2021,1
1579,MM Raj,2021-2023,6,5,9.14,16.8,2021,2023,3
1580,SP Rathee,2011-2014,7,5,8.63,26.4,2011,2014,4
1581,MR Raut,2021-2022,10,5,8.0,15.6,2021,2022,2
1582,B Regmi,2014-2014,3,5,5.6,12.0,2014,2014,1
1583,Rinsangzela Hmamte,2021-2022,9,5,7.44,28.2,2021,2022,2
1584,Saju Datta,2013-2013,2,5,7.5,9.6,2013,2013,1
1585,Sakib Hussain,2022-2024,7,5,10.83,21.6,2022,2024,3
1586,SMLD Samarakoon,2021-2024,12,5,11.52,25.2,2021,2024,4
1587,Sameer Ali,2007-2011,5,5,6.5,21.4,2007,2011,5
1588,JJS Sangha,2018-2025,34,5,8.69,17.8,2018,2025,8
1589,H Sangwan,2019-2021,7,5,9.64,28.0,2019,2021,3
1590,Sanjit Saha,2019-2019,6,5,7.18,22.2,2019,2019,1
1591,Saud Shakeel,2024-2025,22,5,7.66,14.4,2024,2025,2
1592,AT Scaria,2024-2024,2,5,9.31,9.4,2024,2024,1
1593,Shahadat Hossain,2009-2019,10,5,9.41,34.8,2009,2019,11
1594,Shahid Aziz,2025-2025,3,5,8.66,10.8,2025,2025,1
1595,AK Sahoo,2007-2016,22,5,7.25,70.8,2007,2016,10
1596,Shoaib Ahmed,2009-2009,8,5,8.94,20.4,2009,2009,1
1597,Shubek Gill,2015-2015,3,5,7.41,14.4,2015,2015,1
1598,AK Shukla,2024-2024,4,5,7.78,16.8,2024,2024,1
1599,PK Singh,2007-2007,4,5,8.63,13.2,2007,2007,1
1600,RS Sodhi,2007-2010,14,5,7.87,19.2,2007,2010,4
1601,CB Sole,2023-2024,7,5,10.47,22.8,2023,2024,2
1602,CA Soper,2021-2024,6,5,7.81,21.8,2021,2024,4
1603,KR Sreejith,2010-2011,9,5,6.46,31.2,2010,2011,2
1604,K Sudharsan,2024-2024,3,5,6.75,14.4,2024,2024,1
1605,Sufiyan Muqeem,2023-2025,8,5,9.16,28.8,2023,2025,3
1606,Sumon Khan,2019-2025,12,5,9.47,43.2,2019,2025,7
1607,Y Sunny Kumar Singh,2011-2011,4,5,7.3,15.6,2011,2011,1
1608,Sunny Kashyap,2019-2019,5,5,7.25,19.2,2019,2019,1
1609,Tanwir Afzal,2014-2016,6,5,6.41,20.4,2014,2016,3
1610,DT Tiripano,2016-2016,3,5,8.25,12.8,2016,2016,1
1611,A Uniyal,2007-2010,4,5,8.8,12.0,2007,2010,4
1612,A Vala,2021-2024,7,5,7.18,13.2,2021,2024,4
1613,RP Verma,2011-2013,4,5,7.8,18.6,2011,2013,3
1614,Vishal Das,2019-2019,6,5,7.29,20.4,2019,2019,1
1615,K Vivek Krishna,2010-2010,3,5,6.37,9.6,2010,2010,1
1616,JA Warrican,2015-2025,7,5,8.63,22.8,2015,2025,11
1617,RA Whiteley,2017-2023,20,5,9.17,20.4,2017,2023,7
1618,C Wijesinghe,2022-2022,7,5,8.62,6.4,2022,2022,1
1619,NP Winter,2014-2021,6,5,7.56,18.4,2014,2021,8
1620,BSK Yadav,2007-2007,3,5,5.86,9.2,2007,2007,1
1621,BE Young,2012-2013,5,5,6.66,21.6,2012,2013,2
1622,Zeeshan Maqsood,2016-2024,10,5,7.28,16.8,2016,2024,9
1623,SD Atitkar,2010-2011,9,4,8.88,13.5,2010,2011,2
1624,PK Panchal,2014-2023,59,4,7.54,16.5,2014,2023,10
1625,AB Sagar,2010-2010,1,4,7.25,6.0,2010,2010,1
1626,Sumeet Verma,2011-2024,54,4,7.17,42.0,2011,2024,14
1627,Abdul Samad,2019-2025,103,4,10.26,32.0,2019,2025,7
1628,Abhishek Sharma,2018-2018,4,4,8.27,16.5,2018,2018,1
1629,CN Ackermann,2021-2024,16,4,8.0,22.5,2021,2024,4
1630,Aftab Alam,2014-2025,5,4,8.23,19.5,2014,2025,12
1631,Ahmed Safi Abdullah,2020-2020,3,4,8.12,12.0,2020,2020,1
1632,Ahmed Shehzad,2009-2024,110,4,9.25,35.5,2009,2024,16
1633,NC Aiyappa,2011-2012,4,4,7.8,20.0,2011,2012,2
1634,Aizaz Khan,2014-2016,5,4,7.93,22.5,2014,2016,3
1635,Akash Luitel,2021-2022,11,4,7.34,16.7,2021,2022,2
1636,CJ Alexander,2010-2014,4,4,9.13,22.5,2010,2014,5
1637,Ali Shafique,2019-2020,4,4,7.28,18.7,2019,2020,2
1638,Aman Hakim Khan,2021-2023,25,4,8.15,30.0,2021,2023,3
1639,Aminul Islam,2019-2020,6,4,7.55,27.0,2019,2020,2
1640,Anwar Ahmed,2011-2013,5,4,6.73,28.5,2011,2013,3
1641,AK Argal,2010-2013,6,4,9.22,33.0,2010,2013,4
1642,Ariful Haque,2012-2025,93,4,11.68,52.5,2012,2025,14
1643,Arish Ali,2021-2022,2,4,9.14,10.5,2021,2022,2
1644,KIC Asalanka,2020-2024,59,4,7.79,41.0,2020,2024,5
1645,Ashish Singh,2017-2018,9,4,6.33,13.5,2017,2018,2
1646,Asif Ahmed,2012-2015,14,4,8.46,34.7,2012,2015,4
1647,M Aslam,2007-2007,4,4,7.0,22.5,2007,2007,1
1648,AP Bhattacharjee,2019-2019,8,4,6.42,28.5,2019,2019,1
1649,JG Bethell,2024-2025,10,4,6.8,16.7,2024,2025,2
1650,K Bharat Reddy,2007-2007,3,4,7.73,9.5,2007,2007,1
1651,K Bhurtel,2024-2024,3,4,5.12,12.0,2024,2024,1
1652,PR Bhut,2021-2023,7,4,7.52,28.5,2021,2023,3
1653,N Bidaisee,2025-2025,5,4,8.78,21.0,2025,2025,1
1654,NR Bist,2010-2011,10,4,7.2,15.0,2010,2011,2
1655,PW Borren,2009-2016,12,4,7.38,27.0,2009,2016,8
1656,ND Buchanan,2011-2017,5,4,10.75,18.0,2011,2017,7
1657,LR Butterworth,2011-2012,4,4,7.97,17.5,2011,2012,2
1658,JL Carter,2013-2021,65,4,9.51,36.2,2013,2021,9
1659,HWR Cartwright,2012-2025,109,4,12.58,23.0,2012,2025,14
1660,AA Chakraborty,2018-2019,12,4,7.11,52.5,2018,2019,2
1661,SD Chitnis,2008-2016,34,4,9.5,18.0,2008,2016,9
1662,KC D'Costa,2015-2015,5,4,6.42,21.0,2015,2015,1
